Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_022809755.1	ASM2280975v1	Lactococcus lactis		SCB469					GCF_022809755.1-RS_2024_04_17	Complete Genome	2022-04-03		5.0	SAMN27009659
GCF_020221755.1	ASM2022175v1	Lactococcus lactis		FDAARGOS_867					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-04		6.0	SAMN13450397
GCF_023734735.1	ASM2373473v1	Lactococcus lactis		L8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-03		1.0	SAMD00439154
GCF_023078515.1	ASM2307851v1	Lactococcus lactis		JNU 534					GCF_023078515.1-RS_2024_05_14	Complete Genome	2022-04-21		3.0	SAMN27578898
GCF_032878815.1	ASM3287881v1	Lactococcus lactis		LJL7m20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-20		2.0	SAMN30817022
GCF_023206755.1	ASM2320675v1	Lactococcus lactis		KF140					GCF_023206755.1-RS_2024_05_14	Complete Genome	2022-05-02		4.0	SAMN17817055
GCF_038721235.1	ASM3872123v1	Lactococcus lactis		Q13					GCF_038721235.1-RS_2024_04_30	Complete Genome	2024-05-01		4.0	SAMN40948506
GCF_020463755.1	ASM2046375v1	Lactococcus lactis		LAC460					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-13		1.0	SAMN15502559
GCF_014884605.1	ASM1488460v1	Lactococcus lactis		N8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-10-13		3.0	SAMN15500618
GCF_022670815.1	ASM2267081v1	Lactococcus lactis		AH1					GCF_022670815.1-RS_2024_04_06	Complete Genome	2022-03-22		9.0	SAMN26560258
GCF_007954765.1	ASM795476v1	Lactococcus lactis		CBA3619					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-11		2.0	SAMN11843663
GCF_027594765.1	ASM2759476v1	Lactococcus lactis		VHProbi V60					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-09		4.0	SAMN31276505
GCF_016027975.1	ASM1602797v1	Lactococcus lactis		FDAARGOS_887					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14		5.0	SAMN13450417
GCF_016127135.1	ASM1612713v1	Lactococcus lactis		FDAARGOS_1064					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-20		5.0	SAMN16357233
GCF_000761115.1	ASM76111v1	Lactococcus lactis		AI06					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-10-01		1.0	SAMN03025289
GCF_014334715.1	ASM1433471v1	Lactococcus lactis		K_LL005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-08-31		1.0	SAMN15183971
GCF_033631205.1	ASM3363120v1	Lactococcus lactis		B26					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-14		8.0	SAMN38113981
GCF_003722275.1	ASM372227v1	Lactococcus lactis		IL1403					GCF_003722275.1-RS_2024_04_07	Complete Genome	2018-11-13		1.0	SAMN10387363
GCF_016028815.1	ASM1602881v1	Lactococcus lactis		FDAARGOS_866					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14		5.0	SAMN13450396
GCF_029542225.1	ASM2954222v1	Lactococcus lactis		EP2					GCF_029542225.1-RS_2024_04_06	Complete Genome	2023-04-03		1.0	SAMN32424878
GCF_003722255.1	ASM372225v1	Lactococcus lactis		IL6288					GCF_003722255.1-RS_2024_04_08	Complete Genome	2018-11-13		1.0	SAMN10386607
GCF_900088425.1	A12	Lactococcus lactis subsp. lactis		A12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-07-25		5.0	SAMEA4005236
GCF_013395015.3	ASM1339501v3	Lactococcus lactis subsp. lactis		G121					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-17		5.0	SAMN14943687
GCF_002078975.3	ASM207897v4	Lactococcus lactis subsp. lactis		UC06					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-23		7.0	SAMN04956292
GCF_030437975.1	ASM3043797v1	Lactococcus lactis subsp. lactis		KMGR2-43					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-11		8.0	SAMN36278237
GCF_002078615.4	ASM207861v4	Lactococcus lactis subsp. lactis		UC77					GCF_002078615.4-RS_2024_04_18	Complete Genome	2024-04-10		7.0	SAMN04956303
GCF_030489665.1	ASM3048966v1	Lactococcus lactis subsp. lactis		CAB701					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-17		2.0	SAMN36378437
GCF_023611865.3	ASM2361186v3	Lactococcus lactis subsp. lactis		229					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-03		7.0	SAMN24806221
GCF_025562955.2	ASM2556295v3	Lactococcus lactis subsp. lactis		UL021					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-05-05		7.0	SAMN17309603
GCF_002078435.1	ASM207843v1	Lactococcus lactis subsp. lactis		275					GCF_002078435.1-RS_2024_04_07	Complete Genome	2017-04-04		5.0	SAMN04955252
GCF_000807375.1	ASM80737v1	Lactococcus lactis subsp. lactis		S0					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-12-23		1.0	SAMN03200076
GCF_016921015.2	ASM1692101v2	Lactococcus lactis subsp. lactis		223					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-29		9.0	SAMN09847869
GCF_025562895.2	ASM2556289v2	Lactococcus lactis subsp. lactis		I.1.1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-02		7.0	SAMN17300602
GCF_022494905.1	ASM2249490v1	Lactococcus lactis subsp. lactis		IMAU11823					GCF_022494905.1-RS_2024_04_01	Complete Genome	2022-03-07		4.0	SAMN12321273
GCF_016952955.2	ASM1695295v2	Lactococcus lactis subsp. lactis		267					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-02		6.0	SAMN09847870
GCF_016920995.2	ASM1692099v2	Lactococcus lactis subsp. lactis		WM1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-30		6.0	SAMN09847649
GCF_002804185.1	ASM280418v1	Lactococcus lactis subsp. lactis		F44					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-04		1.0	SAMN08048876
GCF_002078855.1	ASM207885v1	Lactococcus lactis subsp. lactis		UL8					GCF_002078855.1-RS_2024_04_01	Complete Genome	2017-04-04		4.0	SAMN04956402
GCF_035985965.1	ASM3598596v1	Lactococcus lactis subsp. lactis		C20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-23		1.0	SAMN39463775
GCF_002804285.1	ASM280428v1	Lactococcus lactis subsp. lactis		G423					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-04		1.0	SAMN08054956
GCF_017821195.2	ASM1782119v2	Lactococcus lactis subsp. lactis		DRC3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-18		7.0	SAMN16604567
GCF_002078495.2	ASM207849v2	Lactococcus lactis subsp. lactis		UC063					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-09		6.0	SAMN04956302
GCF_023611885.1	ASM2361188v1	Lactococcus lactis subsp. lactis		UC109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-31		6.0	SAMN25002609
GCF_002078475.4	ASM207847v4	Lactococcus lactis subsp. lactis		UC11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-18		7.0	SAMN04956294
GCF_002078995.3	ASM207899v3	Lactococcus lactis subsp. lactis		UC08					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-30		6.0	SAMN04956293
GCF_023822205.1	ASM2382220v1	Lactococcus lactis subsp. lactis		IBB417					GCF_023822205.1-RS_2024_04_02	Complete Genome	2022-06-21		6.0	SAMN23247110
GCF_002895225.1	ASM289522v1	Lactococcus lactis subsp. lactis		G50					GCF_002895225.1-RS_2024_03_19	Complete Genome	2018-01-22		1.0	SAMN08200704
GCF_023822185.1	ASM2382218v1	Lactococcus lactis subsp. lactis		IBB109					GCF_023822185.1-RS_2024_04_02	Complete Genome	2022-06-21		6.0	SAMN23247109
GCF_003627395.2	ASM362739v2	Lactococcus lactis subsp. lactis bv. diacetylactis		S50					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-17		7.0	SAMN10167144
GCF_002148215.1	ASM214821v1	Lactococcus lactis subsp. lactis bv. diacetylactis		FM03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-17		8.0	SAMN06061939
GCF_008728875.1	ASM872887v1	Lactococcus lactis subsp. lactis bv. diacetylactis		SD96					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-30		11.0	SAMN12502795
GCF_017869415.1	ASM1786941v1	Lactococcus lactis subsp. lactis bv. diacetylactis		Ge001					GCF_017869415.1-RS_2024_04_26	Complete Genome	2021-04-08		1.0	SAMN17768877
GCF_000025045.1	ASM2504v1	Lactococcus lactis subsp. lactis KF147		KF147					GCF_000025045.1-RS_2024_03_27	Complete Genome	2009-12-18		2.0	SAMN02603087
GCF_000478255.1	ASM47825v2	Lactococcus lactis subsp. lactis NCDO 2118		NCDO 2118					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-07-30		2.0	SAMN02471376
GCF_000344575.1	ASM34457v1	Lactococcus lactis subsp. lactis IO-1		IO-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-02-04		1.0	SAMD00060995
GCF_000192705.1	ASM19270v1	Lactococcus lactis subsp. lactis CV56		CV56					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-03-18		6.0	SAMN02603398
GCF_016653515.1	ASM1665351v1	Lacticaseibacillus rhamnosus		KF7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-17		4.0	SAMN17214539
GCF_032465975.1	ASM3246597v1	Lacticaseibacillus rhamnosus		LMG 23550					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		1.0	SAMN37405142
GCF_031593775.1	ASM3159377v1	Lacticaseibacillus rhamnosus		VHProbi M12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-18		1.0	SAMN37345414
GCF_001988935.1	ASM198893v1	Lacticaseibacillus rhamnosus		BFE5264					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-06		2.0	SAMN04404358
GCF_002158925.1	ASM215892v1	Lacticaseibacillus rhamnosus		4B15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-30		1.0	SAMN07160384
GCF_008727835.1	ASM872783v1	Lacticaseibacillus rhamnosus		hsryfm 1301					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-29		2.0	SAMN12793868
GCF_015377485.1	ASM1537748v1	Lacticaseibacillus rhamnosus		TK-F8B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-12		3.0	SAMN13106275
GCF_902381635.1	UHGG_MGYG-HGUT-01293	Lacticaseibacillus rhamnosus					MGYG-HGUT-01293		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-10		1.0	SAMEA5850796
GCF_032248855.1	ASM3224885v1	Lacticaseibacillus rhamnosus		DS0508					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-01		1.0	SAMN37428803
GCF_030480385.1	ASM3048038v1	Lacticaseibacillus rhamnosus		MCC 0256					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-15		1.0	SAMN36269914
GCF_035334605.1	ASM3533460v1	Lacticaseibacillus rhamnosus		S262-4W					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-09		1.0	SAMN38691366
GCF_024158105.2	ASM2415810v2	Lacticaseibacillus rhamnosus		DM054					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-23		2.0	SAMN29394000
GCF_004010975.1	ASM401097v1	Lacticaseibacillus rhamnosus		LR-B1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-10		1.0	SAMN08176627
GCF_017795605.1	ASM1779560v1	Lacticaseibacillus rhamnosus		LDTM7511					GCF_017795605.1-RS_2024_04_29	Complete Genome	2021-04-06		1.0	SAMN14558312
GCF_029011275.1	ASM2901127v1	Lacticaseibacillus rhamnosus		VSI43					GCF_029011275.1-RS_2024_04_01	Complete Genome	2023-03-06		3.0	SAMN33275455
GCF_008831425.1	ASM883142v1	Lacticaseibacillus rhamnosus		BIO6870					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-07		1.0	SAMN12856534
GCF_026427555.1	ASM2642755v1	Lacticaseibacillus rhamnosus		VHProbi F20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-28		2.0	SAMN27162334
GCF_031202655.1	ASM3120265v1	Lacticaseibacillus rhamnosus		Fmb14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-06		2.0	SAMN29933357
GCF_029010255.1	ASM2901025v1	Lacticaseibacillus rhamnosus		VSI33					GCF_029010255.1-RS_2024_04_06	Complete Genome	2023-03-06		1.0	SAMN33275463
GCF_023913535.1	ASM2391353v1	Lacticaseibacillus rhamnosus		P118					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-06-26		1.0	SAMN29024225
GCF_022220485.1	ASM2222048v1	Lacticaseibacillus rhamnosus		VHProbi Y39					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-02-14		1.0	SAMN23764977
GCF_018228745.1	ASM1822874v1	Lacticaseibacillus rhamnosus		X253					GCF_018228745.1-RS_2024_05_18	Complete Genome	2021-05-03		1.0	SAMN18868053
GCF_900636875.1	44927_D01	Lacticaseibacillus rhamnosus		NCTC13710					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1.0	SAMEA3881060
GCF_019967935.1	ASM1996793v1	Lacticaseibacillus rhamnosus		CAU 1365					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-14		1.0	SAMN20968817
GCF_029543065.1	ASM2954306v1	Lacticaseibacillus rhamnosus		A5					GCF_029543065.1-RS_2024_04_07	Complete Genome	2023-04-03		1.0	SAMN33847213
GCF_003433395.1	ASM343339v1	Lacticaseibacillus rhamnosus		JCM1553					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-28		1.0	SAMN07235705
GCF_002960215.1	ASM296021v1	Lacticaseibacillus rhamnosus		SCT-10-10-60					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-28		1.0	SAMN06233708
GCF_009720565.1	ASM972056v1	Lacticaseibacillus rhamnosus		BIO5326					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-30		1.0	SAMN13344000
GCF_036583945.1	ASM3658394v1	Lacticaseibacillus rhamnosus		CP-1					GCF_036583945.1-RS_2024_05_06	Complete Genome	2024-02-13		1.0	SAMN39624591
GCF_032465915.1	ASM3246591v1	Lacticaseibacillus rhamnosus		LMG 23277					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		1.0	SAMN37405145
GCF_039654095.1	ASM3965409v1	Lacticaseibacillus rhamnosus		S22825					GCF_039654095.1-RS_2024_05_16	Complete Genome	2024-05-17		1.0	SAMN38984026
GCF_002286235.1	ASM228623v1	Lacticaseibacillus rhamnosus		LR5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-05		1.0	SAMN05631078
GCF_033977045.1	ASM3397704v1	Lacticaseibacillus rhamnosus		LR6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-29		1.0	SAMN37367105
GCF_024397415.1	ASM2439741v1	Lacticaseibacillus rhamnosus		HN067					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-07-25		2.0	SAMN29767175
GCF_032465875.1	ASM3246587v1	Lacticaseibacillus rhamnosus		LMG 23551					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		1.0	SAMN37405147
GCF_033802705.1	ASM3380270v1	Lacticaseibacillus rhamnosus		SN21-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-19		1.0	SAMN38167931
GCF_032465895.1	ASM3246589v1	Lacticaseibacillus rhamnosus		LMG 23327					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		1.0	SAMN37405146
GCF_031594435.1	ASM3159443v1	Lacticaseibacillus rhamnosus		VHProbi V6156					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-18		1.0	SAMN37345368
GCF_024053515.2	ASM2405351v2	Lacticaseibacillus rhamnosus		DM065					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-23		3.0	SAMN29255128
GCF_030490305.1	ASM3049030v1	Lacticaseibacillus rhamnosus		DM163					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-17		2.0	SAMN36399042
GCF_020826335.1	ASM2082633v1	Lacticaseibacillus rhamnosus		PMC203					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-10		2.0	SAMN22826457
GCF_035928125.1	ASM3592812v1	Lacticaseibacillus rhamnosus		VHProbi V77					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-22		1.0	SAMN39436992
GCF_024665595.1	ASM2466559v1	Lacticaseibacillus rhamnosus		GR-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-15		4.0	SAMN29862203
GCF_024442295.1	ASM2444229v1	Lacticaseibacillus rhamnosus		CLK 101					GCF_024442295.1-RS_2024_03_29	Complete Genome	2022-07-26		3.0	SAMN29784175
GCF_018141205.1	ASM1814120v1	Lacticaseibacillus rhamnosus		CE1					GCF_018141205.1-RS_2024_05_17	Complete Genome	2021-04-27		1.0	SAMN18687446
GCF_018286375.1	ASM1828637v1	Lacticaseibacillus rhamnosus		AS					GCF_018286375.1-RS_2024_05_21	Complete Genome	2021-05-06		1.0	SAMN18869154
GCF_032465995.1	ASM3246599v1	Lacticaseibacillus rhamnosus		LMG 10768					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		1.0	SAMN37405141
GCF_016599675.1	ASM1659967v2	Lacticaseibacillus rhamnosus		B6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-11		1.0	SAMN17141195
GCF_013167115.1	ASM1316711v1	Lacticaseibacillus rhamnosus		LV108					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-05-26		1.0	SAMN14943671
GCF_032465935.1	ASM3246593v1	Lacticaseibacillus rhamnosus		LMG 19717					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		2.0	SAMN37405144
GCF_032465955.1	ASM3246595v1	Lacticaseibacillus rhamnosus		LMG 19716					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		1.0	SAMN37405143
GCF_024610975.1	ASM2461097v1	Lacticaseibacillus rhamnosus		VHProbi M14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-10		1.0	SAMN27397804
GCF_030034775.1	ASM3003477v1	Lacticaseibacillus rhamnosus		k32					GCF_030034775.1-RS_2024_05_18	Complete Genome	2023-05-18		5.0	SAMN34474297
GCF_002076955.1	ASM207695v1	Lacticaseibacillus rhamnosus		Pen					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-03		1.0	SAMN06196449
GCF_038086925.1	ASM3808692v1	Lacticaseibacillus rhamnosus		LR110					GCF_038086925.1-RS_2024_04_14	Complete Genome	2024-04-15		1.0	SAMN39639086
GCF_003353455.1	ASM335345v1	Lacticaseibacillus rhamnosus GG		GG					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-02		1.0	SAMN09685158
GCF_000026505.1	ASM2650v1	Lacticaseibacillus rhamnosus GG		GG (ATCC 53103)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2009-09-02		1.0	SAMEA2272375
GCF_015238575.1	ASM1523857v1	Lacticaseibacillus rhamnosus GG		JL-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-05		1.0	SAMN13386394
GCF_000011045.1	ASM1104v1	Lacticaseibacillus rhamnosus GG		ATCC 53103					GCF_000011045.1-RS_2024_04_01	Complete Genome	2009-09-25		1.0	SAMD00060969
GCF_002287945.1	ASM228794v1	Lacticaseibacillus rhamnosus DSM 14870		DSM 14870					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-08		1.0	SAMN07605138
GCF_000418495.1	ASM41849v1	Lacticaseibacillus rhamnosus LOCK908		LOCK908					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-07-08		1.0	SAMN02603329
GCF_000026525.1	ASM2652v1	Lacticaseibacillus rhamnosus Lc 705		Lc 705					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2009-09-02		2.0	SAMEA2272728
GCF_000233755.1	ASM23375v1	Lacticaseibacillus rhamnosus ATCC 8530		ATCC 8530					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-11-03		1.0	SAMN02604241
GCF_000418475.1	ASM41847v1	Lacticaseibacillus rhamnosus LOCK900		LOCK900					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-07-08		1.0	SAMN02603328
GCF_902381625.1	UHGG_MGYG-HGUT-01292	Bifidobacterium longum					MGYG-HGUT-01292		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-10		1.0	SAMEA5850795
GCF_030450025.1	ASM3045002v1	Bifidobacterium longum		XZM1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-13		1.0	SAMN31373089
GCF_000730205.1	ASM73020v1	Bifidobacterium longum		BXY01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-07-17		1.0	SAMN02843216
GCF_036419235.1	ASM3641923v1	Bifidobacterium longum		DFI.7.60					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-02-06		2.0	SAMN24726073
GCF_001293145.1	ASM129314v1	Bifidobacterium longum		BG7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-09-17		2.0	SAMN03271682
GCF_016838685.1	ASM1683868v1	Bifidobacterium longum		HN001					GCF_016838685.1-RS_2024_04_01	Complete Genome	2021-02-09		1.0	SAMN17735675
GCF_009728915.1	ASM972891v1	Bifidobacterium longum		LTBL16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-04		1.0	SAMN10473362
GCF_017743155.1	ASM1774315v1	Bifidobacterium longum		K5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-04		1.0	SAMN18520740
GCF_020181415.1	ASM2018141v1	Bifidobacterium longum		NBRC 114370					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-30		2.0	SAMN21163585
GCF_017743175.1	ASM1774317v1	Bifidobacterium longum		K15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-04		1.0	SAMN18520777
GCF_022701235.1	ASM2270123v1	Bifidobacterium longum		D2TC					GCF_022701235.1-RS_2024_04_10	Complete Genome	2022-03-28		1.0	SAMN22899790
GCF_005406285.1	ASM540628v1	Bifidobacterium longum		ZJ1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-16		1.0	SAMN11513273
