Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_014840955.1	ASM1484095v1	Klebsiella pneumoniae		HC139					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-10-04		2.0	SAMN16222891
GCF_002225635.1	ASM222563v1	Escherichia coli		MOD1-EC5747					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-07-25	NLFU01		SAMN05439343
GCF_026625405.1	ASM2662540v1	Staphylococcus aureus		Gwen					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-04		1.0	SAMN31523639
GCF_028435515.1	ASM2843551v1	Pseudomonas aeruginosa		13-3298					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-02-02	JAGXMQ01		SAMN18869672
GCF_002136135.1	ASM213613v1	Pseudomonas aeruginosa		S422_C09_BS					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-05-15	NFGK01	124.0	SAMN06761132
GCF_024609525.1	ASM2460952v1	Escherichia coli		43710					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-08-09	JANDHG01		SAMN29642654
GCF_023545785.1	ASM2354578v1	Staphylococcus aureus		KCJ3K212					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-05-24	JAMJHY01		SAMN28500544
GCF_005381805.1	ASM538180v1	Escherichia coli		BE565					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-17	BFGL01	172.0	SAMD00076964
GCF_020168025.1	ASM2016802v1	Staphylococcus aureus		S.103.20.Sa					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-09-26	JAINZK01	107.0	SAMN20719187
GCF_003071545.1	ASM307154v1	Salmonella enterica subsp. enterica serovar Corvallis		12-01738					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-25		4.0	SAMN08685598
GCF_038433915.1	ASM3843391v1	Acinetobacter baumannii		32517					GCF_038433915.1-RS_2024_04_24	Contig	2024-04-23	JBCDYR01		SAMN41005218
GCF_028549875.1	ASM2854987v1	Acinetobacter baumannii		AB46					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-02-07	JAQQOL01		SAMN32546177
GCF_020483275.1	ASM2048327v1	Streptococcus pyogenes		TSPY125					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-10-13	JACSDO01		SAMN15824173
GCF_017355125.1	ASM1735512v1	Escherichia coli		P68					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2021-03-15		1.0	SAMN16454191
GCF_006494225.1	ASM649422v1	Acinetobacter baumannii		MRSN14237					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-26	VHGY01		SAMN12087646
GCF_021890535.1	ASM2189053v1	Escherichia coli		B_Amp1_JAN2019					GCF_021890535.1-RS_2024_03_17	Contig	2022-02-02	JAKLOE01		SAMN25183869
GCF_004153595.1	ASM415359v1	Acinetobacter baumannii		IHIT38008					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-02-11	SDSK01	50.0	SAMN10829634
GCF_006443355.1	ASM644335v1	Salmonella enterica subsp. enterica serovar Typhimurium		E94H1					GCF_006443355.1-RS_2024_03_22	Contig	2019-06-24	VFXO01		SAMN12004713
GCF_002971815.1	ASM297181v1	Escherichia coli		HT2012103					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-03-06	JZNY01	78.0	SAMN03384228
GCF_003399945.2	ASM339994v2	Escherichia coli		CFSAN061772					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-20		3.0	SAMN06909728
GCF_001833345.1	ASM183334v1	Salmonella enterica subsp. enterica serovar Saintpaul		CFSAN044928					GCF_001833345.1-RS_2024_05_19	Contig	2016-10-24	MLTD01		SAMN04961995
GCF_003840105.1	ASM384010v1	Pseudomonas aeruginosa		886-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-11-26	NSZY01		SAMN07423901
GCF_003145835.1	ASM314583v1	Escherichia coli		Spr2013_WWKa_NEU_6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-05-21	NBJS01	145.0	SAMN06641820
GCF_003030245.1	ASM303024v1	Escherichia coli		CFSAN018748					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-02		4.0	SAMN08668598
GCF_020074245.1	ASM2007424v1	Staphylococcus aureus		37920-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-20	JAEADT01		SAMN15325360
GCF_012928445.1	ASM1292844v1	Salmonella enterica subsp. enterica serovar Typhimurium		1217					GCF_012928445.1-RS_2024_03_13	Contig	2020-04-28	JAATNB01		SAMN14450118
GCF_021494505.1	ASM2149450v1	Escherichia coli		UPMP 1996					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-01-17	JAKEXD01		SAMN24818877
GCF_035828815.1	ASM3582881v1	Escherichia coli		FG42-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-01-18	JAYNAA01		SAMN39366327
GCF_013414905.1	ASM1341490v1	Pseudomonas aeruginosa		UAB2PBS					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2020-07-14		1.0	SAMN14687768
GCF_037995425.1	ASM3799542v1	Salmonella enterica		KBN10P06512					GCF_037995425.1-RS_2024_04_08	Contig	2024-04-06	JBBMYT01		SAMN40623654
GCF_003359675.1	ASM335967v1	Escherichia coli		ECI-2524					GCF_003359675.1-RS_2024_05_18	Contig	2018-08-03	QJHE01		SAMN09257700
GCF_030511725.1	ASM3051172v1	Escherichia coli		11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-07-19	JAUKZX01		SAMN36411896
GCF_029721545.1	ASM2972154v1	Klebsiella pneumoniae		A9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-04-13	JADIXR01		SAMN16657682
GCF_002246115.2	ASM224611v2	Escherichia coli		ECCTRSRTH04					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-12	NPZJ02		SAMN07450615
GCF_002154035.1	ASM215403v1	Escherichia coli		WCHEC050614					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-05-22	MSQY01	160.0	SAMN06197015
GCF_002326965.1	ASM232696v1	Escherichia coli		KCJK5143					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-09-21	NTEY01		SAMN05409604
GCF_013074445.1	ASM1307444v1	Escherichia coli		ED157					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-05-12	JABEXY01		SAMN14600522
GCF_030677075.1	ASM3067707v1	Klebsiella pneumoniae		KP237					GCF_030677075.1-RS_2024_03_16	Contig	2023-08-07	JAUUGQ01		SAMN36700626
GCF_037628825.1	ASM3762882v1	Klebsiella pneumoniae		MRSN918635					GCF_037628825.1-RS_2024_04_07	Contig	2024-03-26	JBBGEL01		SAMN39992678
GCF_026154585.1	ASM2615458v1	Serratia marcescens		sma29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-13	JAPFKR01		SAMN31517137
GCF_013625075.1	ASM1362507v1	Staphylococcus aureus		AA8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-07-24	JABMKK01		SAMN15014507
GCF_039654205.1	ASM3965420v1	Acinetobacter baumannii		2024CK-00247					GCF_039654205.1-RS_2024_05_17	Complete Genome	2024-05-17		5.0	SAMN40443483
GCF_001933095.2	ASM193309v2	Shigella dysenteriae		BCW_4871					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-03-02	MSJV02	299.0	SAMN03358409
GCF_030078375.1	ASM3007837v1	Streptococcus agalactiae		CNCTC 10/84 Cas9 AEKO					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-05-25		1.0	SAMN32878359
GCF_027360965.1	ASM2736096v1	Staphylococcus aureus		MR220					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-27	JAPKLT01		SAMN31749250
GCF_001039225.2	ASM103922v2	Escherichia coli		36493					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-09-19	LDXB02	29.0	SAMN03704971
GCF_021547715.1	ASM2154771v1	Escherichia coli		79-K10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-01-21	JAKFTB01		SAMN24898223
GCF_000193695.1	ASM19369v2	Clostridioides difficile 6503		6503					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2010-12-29	ADEI01		SAMN00006222
GCF_020514575.1	ASM2051457v1	Escherichia coli		21-MO00814					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-10-17	JAJAJS01		SAMN22187423
GCF_009833865.1	ASM983386v1	Serratia marcescens		C47					GCF_009833865.1-RS_2024_03_16	Scaffold	2020-01-07	WUVZ01	81.0	SAMN13544551
GCF_014530785.1	ASM1453078v1	Acinetobacter baumannii		A85					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-14	JACSSO01		SAMN15915138
GCF_003009465.1	ASM300946v1	Escherichia coli		sc14-204					GCF_003009465.1-RS_2024_05_07	Scaffold	2018-03-19	PGKE01	356.0	SAMN07983288
GCF_024520285.1	ASM2452028v1	Pseudomonas aeruginosa		1704					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-08-03	JALKGT01	106.0	SAMN27177302
GCF_031452675.1	ASM3145267v1	Escherichia coli		EC3173					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-09-13	JANICW01		SAMN29886895
GCF_001039145.2	ASM103914v2	Escherichia coli		34870					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-09-19	LDXE02	27.0	SAMN03704968
GCF_027923005.1	ASM2792300v1	Salmonella enterica subsp. enterica serovar Oranienburg		53687					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-01-12	BOTK01		SAMD00280108
GCF_003197835.1	ASM319783v1	Salmonella enterica		CFSAN048123					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-07	QIZF01		SAMN04933553
GCF_033479475.1	ASM3347947v1	Klebsiella pneumoniae		mutant-ATCC43816-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-09	JAVKOT01		SAMN37161000
GCF_002057855.1	ASM205785v1	Salmonella enterica		BCW_4385					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-21	MYRZ01		SAMN03358068
GCF_003030405.1	ASM303040v1	Listeria monocytogenes		CFSAN054108					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-02		1.0	SAMN08663440
GCF_018920525.1	ASM1892052v1	Pseudomonas aeruginosa		PA0571					GCF_018920525.1-RS_2024_05_17	Contig	2021-06-17	JACVNY01		SAMN15889713
GCF_004313645.1	ASM431364v1	Klebsiella pneumoniae		TUM14142					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-29	BILP01		SAMD00129650
GCF_029523805.1	ASM2952380v1	Klebsiella pneumoniae		HB-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-03-30	JALKXM01		SAMN26241698
GCF_023182675.2	ASM2318267v2	Enterococcus faecalis		AKSZ-37					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-10-23	JAOXSL01		SAMN27545011
GCF_016634985.1	ASM1663498v1	Klebsiella pneumoniae		KP92_C					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-01-13	WMMH01		SAMN13301670
GCF_039502855.1	ASM3950285v1	Clostridioides difficile		A-3136-12					GCF_039502855.1-RS_2024_05_06	Scaffold	2024-05-05	JBCJLF01	123.0	SAMN41129519
GCF_000303475.2	ASM30347v2	Escherichia coli EC1850		EC1850					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2012-10-12	AMUY01	393.0	SAMN00808709
GCF_002950155.1	ASM295015v1	Shigella dysenteriae		ATCC 9753					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-23		2.0	SAMN08330262
GCF_035066365.1	ASM3506636v1	Escherichia coli		61579_sr					GCF_035066365.1-RS_2024_03_24	Contig	2024-01-03	JAVXZK01		SAMN37505233
GCF_000148045.1	ASM14804v1	Enterococcus faecalis TX0855		TX0855					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2010-09-24	AEBV01	65.0	SAMN00189119
GCF_009822985.1	ASM982298v1	Escherichia coli		G42					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-12-31	VDLB01	702.0	SAMN11928127
GCF_009753965.1	ASM975396v1	Acinetobacter baumannii		2015ZJAB20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-12-14	WQMI01	50.0	SAMN13496554
GCF_010590985.1	ASM1059098v1	Klebsiella pneumoniae		AS012429					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-02-14	VKTY01	628.0	SAMN12250748
GCF_004299615.1	ASM429961v1	Acinetobacter baumannii		Ab5013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-02-25	SIDC01		SAMN10955941
GCF_003198715.1	ASM319871v1	Salmonella enterica		CFSAN035746					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-07	QJCH01		SAMN03861636
GCF_017292065.1	ASM1729206v1	Klebsiella pneumoniae		C13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-03-07	JAFKNL01		SAMN18087500
GCF_014855725.1	ASM1485572v1	Escherichia coli		EC16156					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-10-06	VKMK01		SAMN12220011
GCF_001547955.1	ASM154795v1	Pseudomonas aeruginosa		NCGM257					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-02-25		1.0	SAMD00020552
GCF_024916525.1	ASM2491652v1	Staphylococcus aureus		GDB9Z60A-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-09-03	JANVIR01	18.0	SAMN29766618
GCF_002030155.1	ASM203015v1	Salmonella enterica subsp. enterica serovar Dublin		BCW_2432					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-17	MXDR01		SAMN02368513
GCF_039413455.1	ASM3941345v1	Pseudomonas aeruginosa		PA-D31-2					GCF_039413455.1-RS_2024_05_05	Contig	2024-05-04	JBCIXF01		SAMN41088446
GCF_005048335.2	ASM504833v2	Staphylococcus aureus		3 (B)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-08-14	SUKH02		SAMN11458142
GCF_036688085.1	ASM3668808v1	Escherichia coli		PxECZ01C					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-17	JBAFST01		SAMN39338507
GCF_027689415.1	ASM2768941v1	Enterococcus faecalis		TM11-1NEA					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQFEM01	56.0	SAMN31809878
GCF_006492675.1	ASM649267v1	Acinetobacter baumannii		MRSN32866					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-26	VHFE01		SAMN12087679
GCF_022975615.1	ASM2297561v1	Escherichia coli		YZ695					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-04-13	JAGMJA01	267.0	SAMN18521041
GCF_009361335.1	ASM936133v1	Listeria monocytogenes		52857					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-10-25	RCBH01		SAMN10148431
GCF_003954005.1	ASM395400v1	Acinetobacter baumannii		R3279					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-18	RWVN01		SAMN10523631
GCF_029125565.1	ASM2912556v1	Klebsiella pneumoniae		PN-026-E1-S03					GCF_029125565.1-RS_2024_05_05	Scaffold	2023-03-10	JAEGHF01	150.0	SAMN17038764
GCF_007859035.1	ASM785903v1	Escherichia coli		19-0562-EIEC-0006					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-08-06	VNKL01		SAMN12302587
GCF_019430465.1	ASM1943046v1	Pseudomonas aeruginosa		CriePir97					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-07-31	JAHYBD01	197.0	SAMN20125803
GCF_003181415.1	ASM318141v1	Clostridium perfringens		TAM-NE42					GCF_003181415.1-RS_2024_04_06	Contig	2018-05-31	PJSJ01		SAMN07326170
GCF_019401305.1	ASM1940130v1	Klebsiella pneumoniae		K415					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-07-29	WTED01		SAMN13563917
GCF_022585975.1	ASM2258597v1	Streptococcus agalactiae		c-10					GCF_022585975.1-RS_2024_04_17	Contig	2022-03-15	JAKZQT01		SAMN26533761
GCF_005046755.1	ASM504675v1	Escherichia coli		FWSEC0022					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-05-01	RRCW01	240.0	SAMN08796971
GCF_019294825.1	ASM1929482v1	Staphylococcus aureus		R10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-07-20	JAHVZC01	33.0	SAMN20239763
GCF_030346535.1	ASM3034653v1	Escherichia coli		ETEC1741F					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-06-26	JAUANI01	10.0	SAMN32549618
GCF_030190315.1	ASM3019031v1	Klebsiella pneumoniae		AHM7C8I					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-06-06	JANGIX01	147.0	SAMN28688210
GCF_002180765.1	ASM218076v1	Klebsiella pneumoniae		39910					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-06-08	NDCC01		SAMN06218078
GCF_008634905.1	ASM863490v1	Escherichia coli O145:H28		14040					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-09-18	BJQW01	418.0	SAMD00166644
GCF_002768595.1	ASM276859v1	Escherichia coli O26:H11		PV09116					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-10-27	BERT01	298.0	SAMD00075959
GCF_023275315.1	ASM2327531v1	Klebsiella pneumoniae		228E4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-05-08	JALXHN01		SAMN27926033
GCF_026135465.1	ASM2613546v1	Escherichia coli		2206					GCF_026135465.1-RS_2024_04_07	Contig	2022-11-10	JAOWPF01		SAMN26036514
GCF_014116865.1	ASM1411686v1	Staphylococcus aureus		SA2028					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-08-08	JACGYC01	63.0	SAMN15677620
GCF_026194995.1	ASM2619499v1	Acinetobacter baumannii		C120					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-15	JAPHIH01		SAMN25160025
GCF_006965405.1	ASM696540v3	Klebsiella pneumoniae		RJY9645					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-25		3.0	SAMN12085403
GCF_029872195.2	ASM2987219v2	Listeria monocytogenes		GIMC2026:LmcBD14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-14		1.0	SAMN32339166
GCF_028335665.1	ASM2833566v1	Enterococcus faecalis		K80-2b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-31		2.0	SAMN23424519
GCF_022421895.1	ASM2242189v1	Klebsiella pneumoniae		2019.TE.10					GCF_022421895.1-RS_2024_05_13	Scaffold	2022-02-28	JAJHVC01	113.0	SAMN22875444
GCF_029222115.1	ASM2922211v1	Klebsiella pneumoniae		ZRY1178					GCF_029222115.1-RS_2024_05_13	Contig	2023-03-15	JARHVQ01		SAMN33355134
GCF_005385005.1	ASM538500v1	Escherichia coli		JML014					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-17	BFML01	504.0	SAMD00077120
GCF_000726265.1	ASM72626v1	Listeria monocytogenes		FSL R8-5112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-07-15	JOWP01		SAMN02741470
GCF_012272795.1	ASM1227279v1	Acinetobacter baumannii		DT-Ab003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-11		3.0	SAMN14308849
GCF_014897015.1	ASM1489701v1	Escherichia coli		NA280					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-10-19	JADBIY01		SAMN16380219
GCF_030014775.1	ASM3001477v1	Escherichia coli		PK-5068					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-05-15	JARCIQ01		SAMN33423735
GCF_010119535.1	ASM1011953v1	Salmonella enterica subsp. enterica serovar Typhimurium		s07					GCF_010119535.1-RS_2024_03_22	Contig	2020-02-03	WSQF01		SAMN11265433
GCF_002277675.1	ASM227767v1	Acinetobacter baumannii		AB73					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-08-29	NKKI01	134.0	SAMN07251706
GCF_004313025.1	ASM431302v1	Klebsiella pneumoniae		TUM14111					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-29	BIKK01		SAMD00129619
GCF_023285815.1	ASM2328581v1	Listeria monocytogenes		2021.TE.300924.1.14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-05-09	JALILL01	30.0	SAMN27119404
GCF_037055935.1	ASM3705593v1	Listeria monocytogenes		L150					GCF_037055935.1-RS_2024_04_05	Complete Genome	2024-04-05		1.0	SAMN34359750
GCF_002765775.1	ASM276577v1	Escherichia coli O26:H11		10308					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-10-27	BENV01	334.0	SAMD00075857
GCF_003362295.1	ASM336229v1	Escherichia coli		ECI-562					GCF_003362295.1-RS_2024_05_15	Contig	2018-08-03	QHAF01		SAMN09257570
GCF_009935025.1	ASM993502v1	Streptococcus agalactiae		LZF006					GCF_009935025.1-RS_2024_03_17	Contig	2020-01-27	NAYV01		SAMN06624923
GCF_005238215.1	ASM523821v1	Enterococcus faecalis		13-9-88					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-05-08	QPXR01	70.0	SAMN09435161
GCF_002110115.1	ASM211011v1	Escherichia coli H378		H378					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-04-25	ADIX01	81.0	SAMN06392841
GCF_025421955.1	ASM2542195v1	Escherichia coli		BZ1001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-26	JAOEFQ01		SAMN30840003
GCF_022898885.1	ASM2289888v1	Staphylococcus aureus		Crie-F380					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-04-11	JALJBW01	151.0	SAMN27304893
GCF_002231925.1	ASM223192v1	Escherichia coli		MOD1-EC5108					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-07-25	NLSF01		SAMN04279444
GCF_004831675.1	ASM483167v1	Klebsiella pneumoniae subsp. pneumoniae		SIKP056					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-04-23	STBG01		SAMN11399393
GCF_003073955.1	ASM307395v1	Escherichia coli		AR434					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-30		2.0	SAMN07291527
GCF_024104895.1	ASM2410489v1	Cutibacterium avidum		HOL5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-06-30	JAHDTV01		SAMN19186359
GCF_004311985.1	ASM431198v1	Klebsiella pneumoniae		TUM14057					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-29	BIIK01		SAMD00129567
GCF_028178345.1	ASM2817834v1	Acinetobacter baumannii		Ab4624					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-27	PGNZ01	65.0	SAMN07944249
GCF_003317815.1	ASM331781v1	Escherichia coli		CVAST0367					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-07-13	NFUB01		SAMN06806380
GCF_026197735.1	ASM2619773v1	Klebsiella pneumoniae		A6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-15	JAMFYI01		SAMN28408386
GCF_003611345.1	ASM361134v1	Pseudomonas aeruginosa		Pa423					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-10-03	NRCH01	129.0	SAMN07514159
GCF_028681925.1	ASM2868192v1	Klebsiella pneumoniae		e230					GCF_028681925.1-RS_2024_03_26	Contig	2023-02-17	JAMQNN01		SAMN27925760
GCF_031632275.1	ASM3163227v1	Klebsiella pneumoniae		KLP00093					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-09-18	LGPG01	136.0	SAMN03473874
GCF_029291705.1	ASM2929170v1	Klebsiella pneumoniae		KP167					GCF_029291705.1-RS_2024_05_18	Contig	2023-03-20	JAOAMR01		SAMN30637403
GCF_001893225.1	ASM189322v1	Escherichia coli		552					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-08	MOIR01	304.0	SAMN05928950
GCF_003697325.1	ASM369732v1	Staphylococcus aureus		LYJ001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-10-29	RDQU01		SAMN10256272
GCF_015180495.1	ASM1518049v1	Salmonella enterica subsp. enterica serovar Hvittingfoss		1287a					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-11-02	JAACNT01		SAMN13884712
